iter	Passed	Remaining
0	144	144014
1	146	72928
2	148	49199
3	149	37174
4	150	29996
5	152	25216
6	153	21774
7	154	19218
8	157	17336
9	159	15764
10	160	14428
11	162	13356
12	164	12458
13	165	11658
14	166	10957
15	168	10351
16	169	9814
17	171	9346
18	172	8932
19	174	8551
20	176	8207
21	177	7892
22	179	7607
23	180	7341
24	182	7118
25	184	6896
26	185	6691
27	187	6496
28	188	6306
29	201	6518
30	203	6349
31	204	6181
32	205	6022
33	206	5878
34	208	5742
35	209	5619
36	211	5499
37	212	5386
38	214	5283
39	215	5180
40	217	5082
41	219	4995
42	220	4902
43	221	4812
44	223	4743
45	225	4670
46	226	4591
47	227	4519
48	229	4458
49	231	4389
50	232	4321
51	233	4260
52	234	4198
53	236	4138
54	237	4080
55	239	4029
56	240	3977
57	241	3925
58	243	3879
59	244	3837
60	246	3793
61	247	3750
62	249	3706
63	250	3664
64	251	3623
65	253	3587
66	255	3552
67	256	3508
68	258	3489
69	260	3457
70	261	3426
71	263	3399
72	265	3366
73	266	3336
74	268	3307
75	269	3279
76	271	3254
77	273	3231
78	275	3206
79	276	3179
80	277	3152
81	279	3126
82	280	3102
83	282	3084
84	285	3072
85	287	3051
86	288	3025
87	289	3004
88	291	2982
89	293	2962
90	294	2941
91	295	2919
92	297	2905
93	299	2886
94	300	2866
95	302	2847
96	304	2830
97	305	2814
98	307	2796
99	308	2777
100	309	2758
101	310	2735
102	312	2718
103	313	2702
104	315	2685
105	316	2668
106	317	2651
107	319	2636
108	320	2623
109	322	2609
110	323	2594
111	325	2579
112	326	2564
113	328	2551
114	329	2539
115	331	2523
116	332	2510
117	334	2496
118	335	2482
119	336	2469
120	338	2457
121	339	2445
122	340	2427
123	342	2416
124	343	2403
125	345	2394
126	346	2382
127	347	2367
128	349	2357
129	350	2346
130	352	2335
131	353	2323
132	354	2313
133	356	2302
134	357	2292
135	359	2282
136	360	2271
137	361	2259
138	363	2251
139	365	2242
140	366	2234
141	368	2225
142	369	2216
143	371	2207
144	374	2205
145	375	2195
146	376	2186
147	378	2178
148	379	2169
149	381	2159
150	382	2152
151	384	2144
152	385	2135
153	387	2127
154	388	2119
155	390	2112
156	391	2104
157	393	2096
158	394	2088
159	396	2081
160	398	2075
161	399	2067
162	401	2062
163	403	2056
164	404	2048
165	406	2040
166	407	2033
167	409	2027
168	410	2020
169	412	2013
170	413	2005
171	415	1999
172	416	1992
173	418	1985
174	419	1979
175	421	1973
176	423	1967
177	424	1959
178	425	1953
179	427	1947
180	428	1938
181	429	1931
182	431	1925
183	432	1919
184	434	1913
185	435	1907
186	437	1901
187	438	1894
188	440	1889
189	441	1882
190	442	1876
191	444	1872
192	446	1868
193	448	1863
194	450	1858
195	451	1852
196	453	1846
197	454	1841
198	456	1836
199	457	1830
200	459	1825
201	460	1819
202	462	1814
203	463	1809
204	465	1804
205	466	1798
206	468	1792
207	469	1787
208	470	1782
209	472	1777
210	473	1772
211	475	1766
212	476	1761
213	478	1756
214	479	1752
215	481	1748
216	483	1742
217	484	1737
218	486	1733
219	487	1729
220	489	1725
221	491	1723
222	493	1718
223	494	1714
224	496	1710
225	498	1706
226	499	1701
227	501	1697
228	503	1694
229	504	1690
230	506	1686
231	508	1682
232	509	1678
233	511	1674
234	513	1670
235	514	1666
236	516	1661
237	518	1658
238	519	1654
239	521	1650
240	523	1647
241	524	1644
242	526	1640
243	528	1635
244	529	1631
245	531	1628
246	532	1624
247	534	1621
248	536	1619
249	538	1616
250	540	1613
251	542	1609
252	543	1605
253	544	1600
254	546	1596
255	548	1593
256	549	1588
257	550	1584
258	552	1581
259	554	1577
260	556	1575
261	558	1573
262	559	1568
263	561	1566
264	563	1562
265	564	1558
266	566	1556
267	568	1553
268	570	1550
269	572	1547
270	573	1543
271	575	1540
272	576	1536
273	578	1532
274	580	1529
275	581	1525
276	583	1522
277	584	1518
278	586	1515
279	587	1511
280	590	1509
281	591	1506
282	593	1502
283	594	1499
284	596	1497
285	598	1493
286	599	1489
287	601	1486
288	603	1483
289	604	1481
290	606	1477
291	608	1474
292	609	1471
293	611	1468
294	612	1464
295	614	1460
296	615	1456
297	616	1452
298	618	1449
299	619	1445
300	621	1443
301	622	1439
302	624	1436
303	626	1433
304	627	1429
305	628	1426
306	630	1422
307	631	1419
308	633	1415
309	634	1412
310	635	1408
311	637	1405
312	638	1402
313	640	1398
314	641	1395
315	643	1393
316	645	1390
317	646	1387
318	648	1384
319	649	1380
320	651	1377
321	652	1373
322	653	1370
323	655	1367
324	657	1364
325	658	1361
326	660	1360
327	662	1357
328	664	1354
329	665	1351
330	668	1350
331	669	1346
332	671	1344
333	672	1341
334	674	1338
335	675	1335
336	677	1331
337	678	1328
338	679	1325
339	681	1322
